id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities_wifi_internet,amenities_tv,amenities_air_conditioning,amenities_heating,amenities_kitchen
0,apartment,private_room,2,1.0,1.0,0.0,real_bed,1,0,1,1,1
1,apartment,private_room,1,1.0,1.0,1.0,real_bed,1,1,1,1,1
2,apartment,entire_home_apt,6,2.0,3.0,5.0,real_bed,1,1,1,1,1
3,apartment,entire_home_apt,3,1.0,0.0,1.0,real_bed,1,1,1,1,1
4,apartment,entire_home_apt,4,1.5,2.0,3.0,real_bed,1,1,1,1,1
5,house,private_room,1,1.0,1.0,1.0,real_bed,1,0,0,1,0
6,apartment,entire_home_apt,2,1.0,1.0,2.0,real_bed,1,1,1,1,1
7,loft,entire_home_apt,2,1.0,1.0,1.0,real_bed,1,1,0,1,1
8,apartment,entire_home_apt,4,1.0,1.0,1.0,real_bed,1,1,1,1,1
9,apartment,entire_home_apt,3,1.0,1.0,3.0,real_bed,1,1,1,1,1
10,guest_suite,private_room,1,1.0,1.0,1.0,real_bed,1,1,0,1,0
11,apartment,private_room,3,1.5,1.0,2.0,real_bed,1,0,0,1,1
12,apartment,private_room,2,1.0,1.0,2.0,real_bed,1,0,0,1,0
13,apartment,entire_home_apt,2,1.0,1.0,1.0,real_bed,1,1,1,1,1
14,apartment,entire_home_apt,4,1.0,1.0,3.0,real_bed,1,1,1,1,1
15,apartment,entire_home_apt,4,1.0,2.0,3.0,real_bed,1,1,1,1,1
16,apartment,entire_home_apt,3,1.0,2.0,2.0,real_bed,1,1,1,1,1
17,apartment,entire_home_apt,9,1.5,3.0,6.0,real_bed,1,0,1,1,1
18,apartment,entire_home_apt,4,1.5,1.0,1.0,real_bed,1,1,1,1,1
19,apartment,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
20,apartment,entire_home_apt,3,1.0,1.0,2.0,pull_out_sofa,1,1,1,0,1
21,apartment,entire_home_apt,5,1.0,1.0,3.0,real_bed,1,1,1,1,1
22,apartment,entire_home_apt,2,1.0,1.0,1.0,real_bed,1,1,0,1,1
23,apartment,entire_home_apt,2,1.0,1.0,1.0,real_bed,1,1,1,1,1
24,apartment,entire_home_apt,7,1.0,3.0,3.0,real_bed,1,1,1,1,1
25,loft,entire_home_apt,6,1.0,2.0,3.0,real_bed,1,1,1,1,1
26,apartment,private_room,2,1.0,1.0,1.0,real_bed,1,1,1,0,1
27,apartment,private_room,3,2.0,1.0,2.0,real_bed,1,1,0,1,0
28,apartment,private_room,2,1.0,1.0,1.0,real_bed,1,1,0,1,1
29,apartment,entire_home_apt,2,1.0,1.0,1.0,real_bed,0,0,0,1,1
30,apartment,entire_home_apt,2,1.0,0.0,1.0,real_bed,1,1,0,1,1
31,apartment,private_room,1,1.0,1.0,1.0,real_bed,1,0,1,1,1
32,apartment,entire_home_apt,6,2.0,2.0,3.0,real_bed,1,1,1,1,1
33,apartment,entire_home_apt,4,1.0,2.0,2.0,real_bed,1,1,1,1,1
34,apartment,entire_home_apt,2,1.5,0.0,2.0,real_bed,1,0,1,1,1
35,apartment,entire_home_apt,4,2.0,2.0,3.0,real_bed,1,1,1,1,1
